type,fold,RMSE,MAE,R2,features,MAPE
mlp,1,6.645392645798546,4.734409567427443,0.2993973667416415,all,0.2613079239264538
mlp,2,6.241332272212418,4.531311278390365,0.382342024105662,all,0.25358972185496476
mlp,3,6.652366945742425,4.861050674910973,0.2983042005811205,all,0.26686594856180584
mlp,4,6.237107456437417,4.401830334944244,0.3828684022087084,all,0.23762209836072862
mlp,5,7.016061230845402,4.540525289100382,0.2208557331248589,all,0.2481362371342407
mlp,1,7.882806808490023,6.200737619622512,0.0141922266980669,classic,0.3513890072659617
mlp,2,7.906011320334569,6.209771594582412,0.0089209181853388,classic,0.35191170652144627
mlp,3,7.86087735370725,6.136835803917159,0.0201975442986039,classic,0.34654294971033944
mlp,4,7.885343682027091,6.0918877720394216,0.0136010891020509,classic,0.33963032555854766
mlp,5,7.877415224191181,6.1000970623473805,0.0178029750422268,classic,0.34121073623708337
mlp,1,7.268342448183984,5.302313633843046,0.1618895916369582,pupil,0.29847062638319943
mlp,2,7.230350898036917,5.177762035188127,0.171080807178488,pupil,0.2838679017227785
mlp,3,7.20248890227561,5.21058486091146,0.1774511901113802,pupil,0.28424662003711465
mlp,4,7.224747892458409,5.272484759732639,0.171949689180881,pupil,0.2905191062922584
mlp,5,7.235559723099183,5.226217482411821,0.1713418550763037,pupil,0.28226426743349337
mlp,1,7.278469624430068,5.586278642742414,0.1595524411947725,ou,0.3090572558029988
mlp,2,7.408380673197425,5.659119013761449,0.1297580266454443,ou,0.3126620605107043
mlp,3,7.198150558133964,5.542047019120781,0.1784417990896549,ou,0.3085635321228145
mlp,4,7.432225960306594,5.718805266659362,0.1237074076720172,ou,0.31971027533227736
mlp,5,73.53006620941531,7.498885228582113,-84.57778712816086,ou,0.4728855521654737
gp,1,7.238612851442725,5.217109800885493,0.1687317916197528,all,0.2894921079075027
gp,2,7.166059670514832,5.142505911782722,0.185756526181713,all,0.28432972183703725
gp,3,7.154391166079344,5.178511783153077,0.1884003599215323,all,0.2815332832134483
gp,4,7.1682177680307815,5.126527583342673,0.1848571721639584,all,0.2788286284375063
gp,5,7.1951376561239,5.151521499349477,0.1805747304812459,all,0.27852274937112376
gp,1,7.900614220317573,6.076908571044557,0.0097332786065877,classic,0.3356144572897285
gp,2,7.901539762185997,6.097963918414839,0.010041689282662,classic,0.3389471669324975
gp,3,7.896773108588659,6.098400109785877,0.011228812514164,classic,0.34015567588639534
gp,4,7.879730831123884,6.078391366442596,0.0150048426415301,classic,0.3381146566223428
gp,5,7.883886219538406,6.076815004891699,0.0161886376694249,classic,0.33759232434814584
gp,1,7.269660931173318,5.279268275616307,0.1615854962943039,pupil,0.2938240549927974
gp,2,7.239524869203308,5.229159898918287,0.1689759839914162,pupil,0.2895564071012718
gp,3,7.206857633953466,5.188319410232439,0.1764530393543852,pupil,0.2830903344165684
gp,4,7.238111034174095,5.2058998129913885,0.1688836757379098,pupil,0.283238245034317
gp,5,7.258745872442295,5.228450145026573,0.1660225220522754,pupil,0.2837517670725196
gp,1,7.792903782973663,5.958303932331341,0.0365501785452271,ou,0.33118377152311734
gp,2,7.80130172356581,5.99620764343511,0.0349993716318427,ou,0.3352162567748699
gp,3,7.787836896548723,5.987442734158394,0.0383209004814537,ou,0.334859868840137
gp,4,7.784512949345003,5.965348611317014,0.0386661795730087,ou,0.33254880925525254
gp,5,7.772547125832811,5.953023132366599,0.0437799052802543,ou,0.33114371053369973
rf,1,6.469145526174951,4.619280713380942,0.3360669101142495,all,0.2568997797386504
rf,2,6.321742013124213,4.518326968360722,0.3663244022494417,all,0.2503387218448616
rf,3,6.31775031875427,4.541464640709887,0.3671199592999549,all,0.24923081028496152
rf,4,6.372878083517429,4.557725103009213,0.3557082785473299,all,0.250166367653906
rf,5,6.4496776305668,4.620687080811001,0.3415737232375332,all,0.2527546617803295
rf,1,7.810613765655966,6.022825252761205,0.0321661727201232,classic,0.33501484750603155
rf,2,7.778704078818915,6.0301394536094906,0.0405818138696975,classic,0.3367739825777821
rf,3,7.792667080236454,6.042039283359596,0.037127622488524,classic,0.3388380822467289
rf,4,7.792369812865938,6.041976799791915,0.0367246630495256,classic,0.33811825936081874
rf,5,7.779596958591616,6.011329215233151,0.0420445027597878,classic,0.3357394290804873
rf,1,7.234109773908364,5.26092063301672,0.1697657192367614,pupil,0.29410077722470696
rf,2,7.203437644557169,5.221144964379775,0.1772402295542386,pupil,0.2898916046776416
rf,3,7.197937048484541,5.198889459637073,0.1784905360535593,pupil,0.2849850631819475
rf,4,7.192850387166683,5.175028072934751,0.1792452884175372,pupil,0.2818978406604238
rf,5,7.219703214593653,5.216636318584143,0.1749698335276667,pupil,0.28443048832141316
rf,1,7.313575337080295,5.643730564830768,0.1514255503779246,ou,0.3165180088594584
rf,2,7.214152512663892,5.587009946589978,0.1747907548916362,ou,0.31371757025502495
rf,3,7.220720307633039,5.5984973324547065,0.1732817423872256,ou,0.31440460344879406
rf,4,7.215442604183971,5.591841747922562,0.1740813302798604,ou,0.31391087210309226
rf,5,7.202917970774187,5.595280890875337,0.1788016349045259,ou,0.3132257571974895
svm,1,7.587723922027679,5.062417461125434,0.0866157598928547,all,0.2696368213727359
svm,2,7.56734224713489,5.008014863229583,0.0920118127559832,all,0.2645522567357066
svm,3,7.60286373295713,5.060389186335727,0.0834611128297609,all,0.26519176846935316
svm,4,7.620310756465616,5.046635491345359,0.07879413346851,all,0.2643209902984738
svm,5,7.6263730778022785,5.0759099660371465,0.0794079247424709,all,0.26627369128103995
svm,1,8.16531225005941,5.785670229863935,-0.0577330311495112,classic,0.28797600853001676
svm,2,8.159806954723331,5.794822953941278,-0.0557308554575122,classic,0.2900669742136835
svm,3,8.151366168899862,5.795305271717665,-0.0535551829597025,classic,0.2910048124910906
svm,4,8.159129107298652,5.792574259452809,-0.0560851628372651,classic,0.28979695787984766
svm,5,8.163115467821312,5.794073276616562,-0.05473417387023,classic,0.28963658719447394
svm,1,8.07745850870176,5.4147292831343705,-0.03509436430037,pupil,0.29582537253387375
svm,2,8.13632352371028,5.405296989391668,-0.0496629404569508,pupil,0.2938597294317317
svm,3,8.176150959454935,5.419878750304661,-0.0599717374104402,pupil,0.29283669949314733
svm,4,8.146661135658574,5.409038099679872,-0.0528600197486059,pupil,0.291130415715175
svm,5,8.150816508247635,5.424726303884573,-0.0515583371977927,pupil,0.29269434436845543
svm,1,7.958159887624277,5.5684662237757605,-0.0047448595297217,ou,0.2761354225789774
svm,2,7.877014342991475,5.514765606829733,0.0161775725487207,ou,0.2755259551895437
svm,3,7.917876064028625,5.545049093833559,0.0059370624130193,ou,0.2769005916337046
svm,4,7.953239207267211,5.544675545046498,-0.0034585093552785,ou,0.2757099539956505
svm,5,7.922428807421115,5.538770735040694,0.0065458491321936,ou,0.2750531927148763
